Category,Text Size [MB],Pattern Length,Alphabet Size,Time [ms],Algorithm,Best Algo
rand2,10.0,256,2.0,19.93,FS,
rand2,10.0,512,2.0,19.39,FS,
rand2,10.0,1024,2.0,15.22,FS,
rand2,10.0,2,2.0,110.58,FSBNDM,
rand2,10.0,4,2.0,83.77,FSBNDM,
rand2,10.0,8,2.0,47.47,FSBNDM,
rand2,10.0,16,2.0,27.27,FSBNDM,
rand2,10.0,32,2.0,14.12,FSBNDM,FSBNDM
rand2,10.0,64,2.0,12.84,FSBNDM,FSBNDM
rand2,10.0,128,2.0,13.26,FSBNDM,
rand2,10.0,256,2.0,13.04,FSBNDM,
rand2,10.0,512,2.0,13.28,FSBNDM,
rand2,10.0,1024,2.0,16.62,FSBNDM,
rand2,10.0,2,2.0,128.65,HOR,
rand2,10.0,4,2.0,110.20,HOR,
rand2,10.0,8,2.0,114.07,HOR,
rand2,10.0,16,2.0,118.02,HOR,
rand2,10.0,32,2.0,119.94,HOR,
rand2,10.0,64,2.0,123.16,HOR,
rand2,10.0,128,2.0,118.09,HOR,
rand2,10.0,256,2.0,122.35,HOR,
rand2,10.0,512,2.0,118.24,HOR,
rand2,10.0,1024,2.0,121.95,HOR,
rand2,10.0,2,2.0,81.64,KR,
rand2,10.0,4,2.0,45.55,KR,
rand2,10.0,8,2.0,32.03,KR,
rand2,10.0,16,2.0,29.03,KR,
rand2,10.0,32,2.0,29.37,KR,
rand2,10.0,64,2.0,30.88,KR,
rand2,10.0,128,2.0,31.18,KR,
rand2,10.0,256,2.0,27.71,KR,
rand2,10.0,512,2.0,28.40,KR,
rand2,10.0,1024,2.0,31.14,KR,
rand2,10.0,2,2.0,137.58,LBNDM,
rand2,10.0,4,2.0,107.20,LBNDM,
rand2,10.0,8,2.0,64.44,LBNDM,
rand2,10.0,16,2.0,34.79,LBNDM,
rand2,10.0,32,2.0,18.90,LBNDM,
rand2,10.0,64,2.0,20.09,LBNDM,
rand2,10.0,128,2.0,103.58,LBNDM,
rand2,10.0,256,2.0,255.50,LBNDM,
rand2,10.0,512,2.0,195.47,LBNDM,
rand2,10.0,1024,2.0,156.79,LBNDM,
rand2,10.0,2,2.0,115.10,RAITA,
rand2,10.0,4,2.0,101.62,RAITA,
rand2,10.0,8,2.0,99.17,RAITA,
rand2,10.0,16,2.0,100.51,RAITA,
rand2,10.0,32,2.0,113.90,RAITA,
rand2,10.0,64,2.0,112.21,RAITA,
rand2,10.0,128,2.0,112.61,RAITA,
rand2,10.0,256,2.0,110.91,RAITA,
rand2,10.0,512,2.0,112.31,RAITA,
rand2,10.0,1024,2.0,122.56,RAITA,
rand2,10.0,2,2.0,75.48,SBNDMQ2,
rand2,10.0,4,2.0,74.48,SBNDMQ2,
rand2,10.0,8,2.0,44.96,SBNDMQ2,
rand2,10.0,16,2.0,22.80,SBNDMQ2,
rand2,10.0,32,2.0,14.73,SBNDMQ2,
rand2,10.0,64,2.0,14.00,SBNDMQ2,
rand2,10.0,128,2.0,14.37,SBNDMQ2,
rand2,10.0,256,2.0,14.44,SBNDMQ2,
rand2,10.0,512,2.0,13.59,SBNDMQ2,
rand2,10.0,1024,2.0,14.31,SBNDMQ2,
rand2,10.0,2,2.0,19.20,SO,SO
rand2,10.0,4,2.0,19.88,SO,SO
rand2,10.0,8,2.0,20.41,SO,SO
rand2,10.0,16,2.0,19.02,SO,
rand2,10.0,32,2.0,18.18,SO,
rand2,10.0,64,2.0,19.87,SO,
rand2,10.0,128,2.0,21.82,SO,
rand2,10.0,256,2.0,20.18,SO,
rand2,10.0,512,2.0,22.76,SO,
rand2,10.0,1024,2.0,18.73,SO,
rand2,10.0,2,2.0,0.00,SSEF,
rand2,10.0,4,2.0,0.00,SSEF,
rand2,10.0,8,2.0,0.00,SSEF,
rand2,10.0,16,2.0,0.00,SSEF,
rand2,10.0,32,2.0,81.91,SSEF,
rand2,10.0,64,2.0,77.33,SSEF,
rand2,10.0,128,2.0,83.21,SSEF,
rand2,10.0,256,2.0,73.52,SSEF,
rand2,10.0,512,2.0,76.94,SSEF,
rand2,10.0,1024,2.0,78.03,SSEF,
rand2,10.0,2,2.0,0.00,TVSBS,
rand2,10.0,4,2.0,0.00,TVSBS,
rand2,10.0,8,2.0,0.00,TVSBS,
rand2,10.0,16,2.0,0.00,TVSBS,
rand2,10.0,32,2.0,0.00,TVSBS,
rand2,10.0,64,2.0,0.00,TVSBS,
rand2,10.0,128,2.0,0.00,TVSBS,
rand2,10.0,256,2.0,0.00,TVSBS,
rand2,10.0,512,2.0,0.00,TVSBS,
rand2,10.0,1024,2.0,0.00,TVSBS,
rand2,10.0,2,2.0,115.48,TW,
rand2,10.0,4,2.0,107.65,TW,
rand2,10.0,8,2.0,102.61,TW,
rand2,10.0,16,2.0,100.31,TW,
rand2,10.0,32,2.0,96.30,TW,
rand2,10.0,64,2.0,100.78,TW,
rand2,10.0,128,2.0,104.01,TW,
rand2,10.0,256,2.0,103.10,TW,
rand2,10.0,512,2.0,102.58,TW,
rand2,10.0,1024,2.0,100.86,TW,
rand2,50.0,2,2.0,0.00,AOSO2,
rand2,50.0,4,2.0,807.59,AOSO2,
rand2,50.0,8,2.0,312.57,AOSO2,
rand2,50.0,16,2.0,101.35,AOSO2,
rand2,50.0,32,2.0,84.30,AOSO2,
rand2,50.0,64,2.0,83.53,AOSO2,
rand2,50.0,128,2.0,84.94,AOSO2,
