Category,Text Size [MB],Pattern Length,Alphabet Size,Time [ms],Algorithm,Best Algo
rand4,2.0,16,4,6.42,BM,
rand4,2.0,32,4,5.1,BM,
rand4,2.0,64,4,4.71,BM,
rand4,2.0,128,4,3.91,BM,
rand4,2.0,256,4,3.57,BM,
rand4,2.0,8,4,5.95,BMH-SBNDM,
rand4,2.0,16,4,4.27,BMH-SBNDM,
rand4,2.0,32,4,2.66,BMH-SBNDM,
rand4,2.0,64,4,2.6,BMH-SBNDM,
rand4,2.0,128,4,2.6,BMH-SBNDM,
rand4,2.0,256,4,2.21,BMH-SBNDM,
rand4,2.0,8,4,3.22,BNDM,
rand4,2.0,16,4,3.61,BNDM,
rand4,2.0,32,4,1.57,BNDM,
rand4,2.0,64,4,2.44,BNDM,
rand4,2.0,128,4,1.04,BNDM,
rand4,2.0,256,4,1.51,BNDM,
rand4,2.0,8,4,6.12,FAOSO4,
rand4,2.0,16,4,0.95,FAOSO4,FAOSO4
rand4,2.0,32,4,0.71,FAOSO4,FAOSO4
rand4,2.0,64,4,0.77,FAOSO4,FAOSO4
rand4,2.0,128,4,0.76,FAOSO4,FAOSO4
rand4,2.0,256,4,1.26,FAOSO4,FAOSO4
rand4,2.0,8,4,6.15,FS,
rand4,2.0,16,4,4.46,FS,
rand4,2.0,32,4,5.57,FS,
rand4,2.0,64,4,4.37,FS,
rand4,2.0,128,4,3.55,FS,
rand4,2.0,256,4,3.73,FS,
rand4,2.0,8,4,3.8,FSBNDM,
rand4,2.0,16,4,1.37,FSBNDM,
rand4,2.0,32,4,0.9,FSBNDM,
rand4,2.0,64,4,0.96,FSBNDM,
rand4,2.0,128,4,0.93,FSBNDM,
rand4,2.0,256,4,1.41,FSBNDM,
rand4,2.0,8,4,7.04,HOR,
rand4,2.0,16,4,7.42,HOR,
rand4,2.0,32,4,7.74,HOR,
rand4,2.0,64,4,7.29,HOR,
rand4,2.0,128,4,8.79,HOR,
rand4,2.0,256,4,7.61,HOR,
rand4,2.0,8,4,4.11,KR,
rand4,2.0,16,4,3.37,KR,
rand4,2.0,32,4,3.43,KR,
rand4,2.0,64,4,3.36,KR,
rand4,2.0,128,4,3.69,KR,
rand4,2.0,256,4,3.19,KR,
rand4,2.0,8,4,5.51,LBNDM,
rand4,2.0,16,4,2.42,LBNDM,
rand4,2.0,32,4,1.93,LBNDM,
rand4,2.0,64,4,1.48,LBNDM,
rand4,2.0,128,4,1.0,LBNDM,
rand4,2.0,256,4,4.94,LBNDM,
rand4,2.0,8,4,5.87,RAITA,
rand4,2.0,16,4,6.18,RAITA,
rand4,2.0,32,4,6.54,RAITA,
rand4,2.0,64,4,5.76,RAITA,
rand4,2.0,128,4,7.35,RAITA,
rand4,2.0,256,4,6.51,RAITA,
rand4,2.0,8,4,2.32,SO,SO
rand4,2.0,16,4,2.55,SO,
rand4,2.0,32,4,2.0,SO,
rand4,2.0,64,4,1.88,SO,
rand4,2.0,128,4,2.97,SO,
rand4,2.0,256,4,2.11,SO,
rand4,2.0,8,4,11.11,TW,
rand4,2.0,16,4,11.98,TW,
rand4,2.0,32,4,11.08,TW,
rand4,2.0,64,4,13.19,TW,
rand4,2.0,128,4,12.52,TW,
rand4,2.0,256,4,11.64,TW,
rand4,4.0,8,4,5.49,AOSO2,AOSO2
rand4,4.0,16,4,5.0,AOSO2,
rand4,4.0,32,4,5.6,AOSO2,
rand4,4.0,64,4,4.35,AOSO2,
rand4,4.0,128,4,4.3,AOSO2,
rand4,4.0,256,4,4.32,AOSO2,
rand4,4.0,8,4,14.76,BM,
rand4,4.0,16,4,14.07,BM,
rand4,4.0,32,4,13.47,BM,
rand4,4.0,64,4,9.49,BM,
rand4,4.0,128,4,8.13,BM,
rand4,4.0,256,4,8.16,BM,
rand4,4.0,8,4,13.54,BMH-SBNDM,
rand4,4.0,16,4,8.12,BMH-SBNDM,
rand4,4.0,32,4,4.9,BMH-SBNDM,
rand4,4.0,64,4,6.63,BMH-SBNDM,
rand4,4.0,128,4,5.35,BMH-SBNDM,
rand4,4.0,256,4,5.88,BMH-SBNDM,
rand4,4.0,8,4,10.54,BNDM,
rand4,4.0,16,4,5.59,BNDM,
rand4,4.0,32,4,3.1,BNDM,
rand4,4.0,64,4,4.19,BNDM,
rand4,4.0,128,4,4.04,BNDM,
rand4,4.0,256,4,3.96,BNDM,
rand4,4.0,8,4,16.02,FAOSO4,
rand4,4.0,16,4,3.5,FAOSO4,FAOSO4
rand4,4.0,32,4,2.59,FAOSO4,FAOSO4
rand4,4.0,64,4,2.03,FAOSO4,FAOSO4
rand4,4.0,128,4,1.97,FAOSO4,FAOSO4
rand4,4.0,256,4,1.93,FAOSO4,FAOSO4
rand4,4.0,8,4,14.22,FS,
rand4,4.0,16,4,10.93,FS,
rand4,4.0,32,4,9.24,FS,
rand4,4.0,64,4,7.59,FS,
rand4,4.0,128,4,8.04,FS,
rand4,4.0,256,4,5.66,FS,
rand4,4.0,8,4,7.82,FSBNDM,
rand4,4.0,16,4,4.55,FSBNDM,
rand4,4.0,32,4,3.27,FSBNDM,
rand4,4.0,64,4,3.79,FSBNDM,
rand4,4.0,128,4,2.85,FSBNDM,
rand4,4.0,256,4,2.71,FSBNDM,
rand4,4.0,8,4,16.71,HOR,
